NAME HCon200

MAXTIME 320
DAYS 5

FLEET SIZE 10
68 9 9 0 9 0
69 0 0 28 0 0
70 0 0 8 0 0
71 0 0 0 8 0
72 16 16 0 0 0
73 0 0 0 0 10
74 28 0 28 0 28
75 7 7 0 7 0
76 0 0 0 0 15
77 0 0 0 14 0
78 0 6 0 0 0
79 19 0 0 0 0
80 0 0 0 11 11
81 12 0 0 0 0
82 0 0 0 0 23
83 26 26 0 26 26
84 17 0 0 0 17
85 6 6 6 0 0
86 9 0 0 0 0
87 0 15 0 0 0
88 0 0 14 0 0
89 7 7 7 0 7
90 27 0 0 0 0
91 0 0 0 13 0
92 11 0 0 0 11
93 0 0 16 0 0
94 0 0 10 10 10
95 0 0 15 0 0
96 0 0 0 25 0
97 0 0 17 0 0
98 18 0 0 0 0
99 10 10 10 10 10
100 10 10 10 10 10
101 0 0 7 0 0
102 0 13 0 13 13
103 19 0 0 0 0
104 26 26 0 26 26
105 0 0 13 0 0
106 0 0 0 0 15
107 9 0 0 0 0
108 0 0 16 0 0
109 0 0 0 16 0
110 12 0 12 12 12
111 0 19 0 0 0
112 0 0 23 23 23
113 0 20 20 20 20
114 0 0 0 0 8
115 19 0 0 19 0
116 2 2 0 2 2
117 0 12 12 12 12
118 17 0 17 0 17
119 0 0 9 0 0
120 11 0 0 0 0
121 18 18 18 18 18
122 0 29 29 29 0
123 0 0 13 0 0
124 0 0 0 0 6
125 17 0 0 17 0
126 0 16 0 0 0
127 0 0 0 16 0
128 9 0 0 0 0
129 0 21 0 0 0
130 0 0 0 0 27
131 0 0 23 0 0
132 11 0 11 11 11
133 14 14 14 14 14
134 8 0 0 0 0
135 5 5 5 5 0
136 8 8 8 0 0
137 0 16 0 0 0
138 31 31 31 0 0
139 9 0 0 9 9
140 0 0 5 0 0
141 0 5 5 5 5
142 0 7 7 7 7
143 0 0 0 18 0
144 0 16 0 0 0
145 0 0 1 0 0
146 27 27 27 27 0
147 0 0 0 36 0
148 0 30 30 30 30
149 0 13 0 0 0
150 10 10 0 0 10
151 9 9 9 9 9
152 14 0 0 0 0
153 0 18 0 0 0
154 0 12 0 0 0
155 6 6 6 6 6
156 0 0 0 7 0
157 0 0 18 18 18
158 0 0 28 0 0
159 3 3 0 0 3
160 0 13 0 0 0
161 0 0 19 0 0
162 10 10 0 0 10
163 0 0 0 9 0
164 20 20 0 20 0
165 0 25 0 0 0
166 25 25 25 25 0
167 0 0 0 0 36
168 6 6 6 6 6
169 0 0 0 5 0
170 15 0 0 0 0
171 0 0 25 0 0
172 0 9 9 0 9
173 8 8 8 8 8
174 0 18 18 18 18
175 13 13 13 13 0
176 0 0 0 0 14
177 3 3 0 3 3
178 0 0 23 0 0
179 0 6 6 6 6
180 26 26 0 26 0
181 0 0 16 0 0
182 11 11 11 11 11
183 7 7 7 7 0
184 0 41 41 41 0
185 35 35 35 0 35
186 26 26 0 26 26
187 9 9 9 0 9
188 15 15 15 15 0
189 3 3 3 3 3
190 0 0 0 11 0
191 2 2 0 2 2
192 0 0 0 0 22
193 27 27 27 27 27
194 20 0 20 20 20
195 11 0 11 0 11
196 12 12 12 12 12
197 0 0 10 10 10
198 0 9 9 9 9
199 17 17 17 17 0

COMPATIBILITY RESTRICTIONS 
1 1 1 1 1 1 1 1 1 1 1
2 0 0 0 0 0 1 1 1 1 1
3 0 0 0 0 0 1 1 1 1 1
4 0 0 0 0 0 1 1 1 1 1
5 1 0 0 0 0 0 0 0 0 0
6 0 0 0 0 0 1 1 1 1 1
7 1 1 1 1 1 1 1 1 1 1
8 1 1 1 1 1 1 1 1 1 1
9 1 0 0 0 0 0 0 0 0 0
10 1 0 0 0 0 0 0 0 0 0
11 1 0 0 0 0 0 0 0 0 0
12 0 0 0 0 0 1 1 1 1 1
13 1 1 1 1 1 1 1 1 1 1
14 1 0 0 0 0 0 0 0 0 0
15 1 1 1 1 1 1 1 1 1 1
16 0 0 0 0 0 1 1 1 1 1
17 0 0 0 0 0 1 1 1 1 1
18 1 1 1 1 1 1 1 1 1 1
19 1 1 1 1 1 1 1 1 1 1
20 1 0 0 0 0 0 0 0 0 0
21 1 0 0 0 0 0 0 0 0 0
22 1 1 1 1 1 1 1 1 1 1
23 1 1 1 1 1 1 1 1 1 1
24 1 0 0 0 0 0 0 0 0 0
25 1 1 1 1 1 1 1 1 1 1
26 0 0 0 0 0 1 1 1 1 1
27 1 1 1 1 1 1 1 1 1 1
28 1 0 0 0 0 0 0 0 0 0
29 1 1 1 1 1 1 1 1 1 1
30 0 0 0 0 0 1 1 1 1 1
31 1 0 0 0 0 0 0 0 0 0
32 1 0 0 0 0 0 0 0 0 0
33 0 0 0 0 0 1 1 1 1 1
34 0 0 0 0 0 1 1 1 1 1
35 1 1 1 1 1 1 1 1 1 1
36 1 1 1 1 1 1 1 1 1 1
37 1 1 1 1 1 1 1 1 1 1
38 1 0 0 0 0 0 0 0 0 0
39 1 1 1 1 1 1 1 1 1 1
40 0 0 0 0 0 1 1 1 1 1
41 1 1 1 1 1 1 1 1 1 1
42 1 1 1 1 1 1 1 1 1 1
43 1 1 1 1 1 1 1 1 1 1
44 1 1 1 1 1 1 1 1 1 1
45 0 0 0 0 0 1 1 1 1 1
46 0 0 0 0 0 1 1 1 1 1
47 1 0 0 0 0 0 0 0 0 0
48 1 0 0 0 0 0 0 0 0 0
49 1 1 1 1 1 1 1 1 1 1
50 0 0 0 0 0 1 1 1 1 1
51 1 0 0 0 0 0 0 0 0 0
52 1 1 1 1 1 1 1 1 1 1
53 0 0 0 0 0 1 1 1 1 1
54 0 0 0 0 0 1 1 1 1 1
55 1 1 1 1 1 1 1 1 1 1
56 1 0 0 0 0 0 0 0 0 0
57 1 0 0 0 0 0 0 0 0 0
58 0 0 0 0 0 1 1 1 1 1
59 1 1 1 1 1 1 1 1 1 1
60 0 0 0 0 0 1 1 1 1 1
61 0 0 0 0 0 1 1 1 1 1
62 1 0 0 0 0 0 0 0 0 0
63 1 0 0 0 0 0 0 0 0 0
64 1 1 1 1 1 1 1 1 1 1
65 1 1 1 1 1 1 1 1 1 1
66 0 0 0 0 0 1 1 1 1 1
67 1 0 0 0 0 0 0 0 0 0
68 1 1 1 1 1 1 1 1 1 1
69 1 0 0 0 0 0 0 0 0 0
70 1 1 1 1 1 1 1 1 1 1
71 1 1 1 1 1 1 1 1 1 1
72 1 1 1 1 1 1 1 1 1 1
73 1 1 1 1 1 1 1 1 1 1
74 1 0 0 0 0 0 0 0 0 0
75 1 1 1 1 1 1 1 1 1 1
76 0 0 0 0 0 1 1 1 1 1
77 1 1 1 1 1 1 1 1 1 1
78 1 1 1 1 1 1 1 1 1 1
79 1 0 0 0 0 0 0 0 0 0
80 1 1 1 1 1 1 1 1 1 1
81 0 0 0 0 0 1 1 1 1 1
82 1 0 0 0 0 0 0 0 0 0
83 1 0 0 0 0 0 0 0 0 0
84 1 1 1 1 1 1 1 1 1 1
85 1 1 1 1 1 1 1 1 1 1
86 0 0 0 0 0 1 1 1 1 1
87 0 0 0 0 0 1 1 1 1 1
88 1 1 1 1 1 1 1 1 1 1
89 1 1 1 1 1 1 1 1 1 1
90 1 0 0 0 0 0 0 0 0 0
91 1 1 1 1 1 1 1 1 1 1
92 1 1 1 1 1 1 1 1 1 1
93 1 1 1 1 1 1 1 1 1 1
94 1 1 1 1 1 1 1 1 1 1
95 0 0 0 0 0 1 1 1 1 1
96 0 0 0 0 0 1 1 1 1 1
97 1 1 1 1 1 1 1 1 1 1
98 0 0 0 0 0 1 1 1 1 1
99 1 1 1 1 1 1 1 1 1 1
100 0 0 0 0 0 1 1 1 1 1
101 1 1 1 1 1 1 1 1 1 1
102 1 1 1 1 1 1 1 1 1 1
103 1 0 0 0 0 0 0 0 0 0
104 1 0 0 0 0 0 0 0 0 0
105 0 0 0 0 0 1 1 1 1 1
106 1 1 1 1 1 1 1 1 1 1
107 1 1 1 1 1 1 1 1 1 1
108 1 1 1 1 1 1 1 1 1 1
109 1 1 1 1 1 1 1 1 1 1
110 1 1 1 1 1 1 1 1 1 1
111 0 0 0 0 0 1 1 1 1 1
112 0 0 0 0 0 1 1 1 1 1
113 1 0 0 0 0 0 0 0 0 0
114 1 1 1 1 1 1 1 1 1 1
115 1 0 0 0 0 0 0 0 0 0
116 1 1 1 1 1 1 1 1 1 1
117 0 0 0 0 0 1 1 1 1 1
118 1 1 1 1 1 1 1 1 1 1
119 1 1 1 1 1 1 1 1 1 1
120 1 1 1 1 1 1 1 1 1 1
121 1 1 1 1 1 1 1 1 1 1
122 1 0 0 0 0 0 0 0 0 0
123 1 1 1 1 1 1 1 1 1 1
124 1 1 1 1 1 1 1 1 1 1
125 0 0 0 0 0 1 1 1 1 1
126 0 0 0 0 0 1 1 1 1 1
127 0 0 0 0 0 1 1 1 1 1
128 1 1 1 1 1 1 1 1 1 1
129 1 0 0 0 0 0 0 0 0 0
130 0 0 0 0 0 1 1 1 1 1
131 1 0 0 0 0 0 0 0 0 0
132 1 1 1 1 1 1 1 1 1 1
133 1 1 1 1 1 1 1 1 1 1
134 1 1 1 1 1 1 1 1 1 1
135 1 1 1 1 1 1 1 1 1 1
136 1 1 1 1 1 1 1 1 1 1
137 1 1 1 1 1 1 1 1 1 1
138 1 0 0 0 0 0 0 0 0 0
139 0 0 0 0 0 1 1 1 1 1
140 1 1 1 1 1 1 1 1 1 1
141 1 1 1 1 1 1 1 1 1 1
142 1 1 1 1 1 1 1 1 1 1
143 1 1 1 1 1 1 1 1 1 1
144 1 1 1 1 1 1 1 1 1 1
145 1 1 1 1 1 1 1 1 1 1
146 1 0 0 0 0 0 0 0 0 0
147 1 0 0 0 0 0 0 0 0 0
148 1 0 0 0 0 0 0 0 0 0
149 0 0 0 0 0 1 1 1 1 1
150 1 1 1 1 1 1 1 1 1 1
151 0 0 0 0 0 1 1 1 1 1
152 0 0 0 0 0 1 1 1 1 1
153 1 1 1 1 1 1 1 1 1 1
154 1 1 1 1 1 1 1 1 1 1
155 1 1 1 1 1 1 1 1 1 1
156 1 1 1 1 1 1 1 1 1 1
157 0 0 0 0 0 1 1 1 1 1
158 1 0 0 0 0 0 0 0 0 0
159 1 1 1 1 1 1 1 1 1 1
160 1 1 1 1 1 1 1 1 1 1
161 1 0 0 0 0 0 0 0 0 0
162 1 1 1 1 1 1 1 1 1 1
163 1 1 1 1 1 1 1 1 1 1
164 1 0 0 0 0 0 0 0 0 0
165 1 0 0 0 0 0 0 0 0 0
166 1 0 0 0 0 0 0 0 0 0
167 1 0 0 0 0 0 0 0 0 0
168 0 0 0 0 0 1 1 1 1 1
169 1 1 1 1 1 1 1 1 1 1
170 1 1 1 1 1 1 1 1 1 1
171 1 0 0 0 0 0 0 0 0 0
172 1 1 1 1 1 1 1 1 1 1
173 1 1 1 1 1 1 1 1 1 1
174 1 1 1 1 1 1 1 1 1 1
175 0 0 0 0 0 1 1 1 1 1
176 1 1 1 1 1 1 1 1 1 1
177 1 1 1 1 1 1 1 1 1 1
178 1 0 0 0 0 0 0 0 0 0
179 1 1 1 1 1 1 1 1 1 1
180 1 0 0 0 0 0 0 0 0 0
181 1 1 1 1 1 1 1 1 1 1
182 1 1 1 1 1 1 1 1 1 1
183 1 1 1 1 1 1 1 1 1 1
184 1 0 0 0 0 0 0 0 0 0
185 1 0 0 0 0 0 0 0 0 0
186 1 0 0 0 0 0 0 0 0 0
187 1 1 1 1 1 1 1 1 1 1
188 0 0 0 0 0 1 1 1 1 1
189 1 1 1 1 1 1 1 1 1 1
190 1 1 1 1 1 1 1 1 1 1
191 1 1 1 1 1 1 1 1 1 1
192 1 0 0 0 0 0 0 0 0 0
193 0 0 0 0 0 1 1 1 1 1
194 0 0 0 0 0 1 1 1 1 1
195 0 0 0 0 0 1 1 1 1 1
196 0 0 0 0 0 1 1 1 1 1
197 1 1 1 1 1 1 1 1 1 1
198 0 0 0 0 0 1 1 1 1 1
199 1 1 1 1 1 1 1 1 1 1
